mouse,conc,treatment,analyte,time,fold change
11,1355.521716,trt2,Leptin,2,1.771066741
12,695.3686758,trt2,Leptin,2,0.908538992
13,571.0705118,trt2,Leptin,2,0.746136324
14,994.2422841,trt2,Leptin,2,1.299034476
15,1216.615581,trt2,Leptin,2,1.589577921
26,611.2382521,trt2,Leptin,2,0.798617777
27,417.5859471,trt2,Leptin,2,0.545599951
28,89.24899115,trt2,Leptin,2,0.116608917
29,372.8267108,trt2,Leptin,2,0.487119446
30,603.2107057,trt2,Leptin,2,0.788129327
41,208.0456425,trt2,Leptin,2,0.271823545
42,212.2180936,trt2,Leptin,2,0.277275091
43,352.418225,trt2,Leptin,2,0.460454591
44,595.1802365,trt2,Leptin,2,0.77763706
45,97.90751474,trt2,Leptin,2,0.127921774
11,918.6907233,trt2,Leptin,4,1.375233297
12,607.2248395,trt2,Leptin,4,0.908984707
13,413.5242432,trt2,Leptin,4,0.619024764
14,233.0292103,trt2,Leptin,4,0.348832878
15,323.7709324,trt2,Leptin,4,0.484668622
41,299.1383773,trt2,Leptin,4,0.447794939
42,286.7924621,trt2,Leptin,4,0.429313732
43,603.2107057,trt2,Leptin,4,0.902975753
44,1089.584573,trt2,Leptin,4,1.6310527
45,178.7317545,trt2,Leptin,4,0.267552348
11,561.6470914,trt2,Leptin,6,0.661513944
12,675.5386593,trt2,Leptin,6,0.79565665
13,654.0353256,trt2,Leptin,6,0.770329793
14,293.1433481,trt2,Leptin,6,0.345267367
15,219.6205411,trt2,Leptin,6,0.258671419
26,660.180938,trt2,Leptin,6,0.777568161
27,397.0660583,trt2,Leptin,6,0.467668645
28,111.3819498,trt2,Leptin,6,0.13118685
29,387.6762421,trt2,Leptin,6,0.456609219
30,654.0353256,trt2,Leptin,6,0.770329793
41,274.0688039,trt2,Leptin,6,0.322801165
42,167.6735317,trt2,Leptin,6,0.197487677
43,393.9372173,trt2,Leptin,6,0.463983463
44,804.2573319,trt2,Leptin,6,0.947262877
45,193.7474392,trt2,Leptin,6,0.228197804
11,1915.587482,trt2,Leptin,8,2.234604928
12,657.1083169,trt2,Leptin,8,0.766541595
13,490.4879003,trt2,Leptin,8,0.572172605
14,1440.292467,trt2,Leptin,8,1.680155396
15,675.5386593,trt2,Leptin,8,0.788041283
26,238.9128476,trt2,Leptin,8,0.278700833
27,161.1190134,trt2,Leptin,8,0.187951396
28,121.4231793,trt2,Leptin,8,0.141644711
29,94.51585822,trt2,Leptin,8,0.110256308
30,216.3962263,trt2,Leptin,8,0.252434346
41,412.6943757,trt2,Leptin,8,0.481423529
42,327.954068,trt2,Leptin,8,0.382570769
43,353.1571439,trt2,Leptin,8,0.411971106
44,972.3601282,trt2,Leptin,8,1.134294703
45,70.56328407,trt2,Leptin,8,0.082314728
11,1221.79203,trt2,Leptin,9,0.86548184
12,961.6192688,trt2,Leptin,9,0.681183044
13,660.7751429,trt2,Leptin,9,0.468073839
14,156.5,trt2,Leptin,9,0.110860036
15,1341.937139,trt2,Leptin,9,0.950589131
26,1017.639541,trt2,Leptin,9,0.720866171
27,549.9682619,trt2,Leptin,9,0.389581477
28,405.956885,trt2,Leptin,9,0.287568017
29,393.3669053,trt2,Leptin,9,0.278649643
30,243.4490918,trt2,Leptin,9,0.172452236
41,1333.148534,trt2,Leptin,9,0.944363539
42,549.9682619,trt2,Leptin,9,0.389581477
43,563.7175431,trt2,Leptin,9,0.399321066
44,1352.190356,trt2,Leptin,9,0.957852211
45,241.7909684,trt2,Leptin,9,0.17127767
6,84.90490833,trt1,Leptin,2,0.110933124
7,161.8871757,trt1,Leptin,2,0.211514865
8,157.6640499,trt1,Leptin,2,0.205997109
9,327.8691348,trt1,Leptin,2,0.428379799
10,843.0485741,trt1,Leptin,2,1.101491236
21,827.1097015,trt1,Leptin,2,1.080666186
22,80.55016196,trt1,Leptin,2,0.105243399
23,208.0456425,trt1,Leptin,2,0.271823545
24,675.3619575,trt1,Leptin,2,0.882399069
25,286.7924621,trt1,Leptin,2,0.374710774
37,1327.739208,trt1,Leptin,2,1.734767303
38,323.7709324,trt1,Leptin,2,0.423025263
40,89.24899115,trt1,Leptin,2,0.116608917
6,228.8735336,trt1,Leptin,4,0.342612041
7,429.7628875,trt1,Leptin,4,0.643333189
8,161.8871757,trt1,Leptin,4,0.24233687
9,127.9487551,trt1,Leptin,4,0.19153278
10,510.6630614,trt1,Leptin,4,0.764436635
37,303.2491544,trt1,Leptin,4,0.453948564
38,530.82154,trt1,Leptin,4,0.794612853
40,89.24899115,trt1,Leptin,4,0.133601201
6,277.2525305,trt1,Leptin,6,0.326550992
7,549.2949878,trt1,Leptin,6,0.646965505
8,353.1571439,trt1,Leptin,6,0.415952257
9,196.9918256,trt1,Leptin,6,0.232019077
10,384.5440779,trt1,Leptin,6,0.452920123
21,601.7328636,trt1,Leptin,6,0.708727395
22,53.12907954,trt1,Leptin,6,0.062575997
23,190.4999289,trt1,Leptin,6,0.224372851
24,555.4721667,trt1,Leptin,6,0.654241052
25,573.9903983,trt1,Leptin,6,0.676052023
37,524.5625724,trt1,Leptin,6,0.617835402
38,343.7163466,trt1,Leptin,6,0.404832785
40,97.90338167,trt1,Leptin,6,0.115311649
6,196.9918256,trt1,Leptin,8,0.229798382
7,400.1938212,trt1,Leptin,8,0.466841162
8,183.9952484,trt1,Leptin,8,0.214637386
9,331.109381,trt1,Leptin,8,0.386251561
10,245.3243572,trt1,Leptin,8,0.2861801
21,564.7337257,trt1,Leptin,8,0.658783156
22,38.90457129,trt1,Leptin,8,0.045383647
23,174.2129235,trt1,Leptin,8,0.203225935
24,293.1433481,trt1,Leptin,8,0.341962754
25,859.3096027,trt1,Leptin,8,1.002417008
37,493.5890808,trt1,Leptin,8,0.575790249
38,425.1787889,trt1,Leptin,8,0.495987067
40,131.4129934,trt1,Leptin,8,0.153298205
6,315.3108591,trt1,Leptin,9,0.223357016
7,762.7960501,trt1,Leptin,9,0.540342474
8,3028.730233,trt1,Leptin,9,2.145464162
9,696.8948673,trt1,Leptin,9,0.493659999
10,607.8426438,trt1,Leptin,9,0.430578001
21,1095.596419,trt1,Leptin,9,0.776088549
22,687.8773311,trt1,Leptin,9,0.487272239
23,486.9537729,trt1,Leptin,9,0.34494385
24,326.5727462,trt1,Leptin,9,0.231334609
25,989.6445247,trt1,Leptin,9,0.701035318
37,1258.432653,trt1,Leptin,9,0.891436988
38,1029.418621,trt1,Leptin,9,0.729210127
40,156.5,trt1,Leptin,9,0.110860036
1,526.791747,control,Leptin,2,0.688283582
2,274.4252258,control,Leptin,2,0.358552271
3,241.3312712,control,Leptin,2,0.315313125
4,327.8691348,control,Leptin,2,0.428379799
5,559.00484,control,Leptin,2,0.730371833
16,534.850407,control,Leptin,2,0.698812683
17,954.4879814,control,Leptin,2,1.247093203
18,1828.54536,control,Leptin,2,2.389099217
19,791.2262545,control,Leptin,2,1.033782408
20,1097.526387,control,Leptin,2,1.43398107
31,421.6462755,control,Leptin,2,0.550905003
32,619.2629503,control,Leptin,2,0.809102504
33,587.1467676,control,Leptin,2,0.767140873
34,2392.667555,control,Leptin,2,3.126157167
35,323.7709324,control,Leptin,2,0.423025263
1,619.2629503,control,Leptin,4,0.927005147
2,319.6707282,control,Leptin,4,0.478530825
3,340.1520799,control,Leptin,4,0.509190367
4,401.3306667,control,Leptin,4,0.6007716
5,421.6462755,control,Leptin,4,0.631183033
31,373.7570025,control,Leptin,4,0.559495227
32,699.3683613,control,Leptin,4,1.046918874
33,1014.112421,control,Leptin,4,1.518074726
34,1960.131612,control,Leptin,4,2.934217349
35,530.82154,control,Leptin,4,0.794612853
1,644.814081,control,Leptin,6,0.759468913
2,274.0688039,control,Leptin,6,0.322801165
3,462.5432014,control,Leptin,6,0.544788324
4,601.7328636,control,Leptin,6,0.708727395
5,459.4342697,control,Leptin,6,0.541126591
16,286.7924621,control,Leptin,6,0.337787226
17,1097.577148,control,Leptin,6,1.29273809
18,2366.61503,control,Leptin,6,2.787424465
19,941.8156359,control,Leptin,6,1.109280517
20,362.5861578,control,Leptin,6,0.42705785
31,296.3161583,control,Leptin,6,0.349004337
32,635.5893244,control,Leptin,6,0.748603896
33,1326.890565,control,Leptin,6,1.562825883
34,2547.302344,control,Leptin,6,3.000239913
35,431.4152031,control,Leptin,6,0.508125435
1,558.5599073,control,Leptin,8,0.651581164
2,203.4714992,control,Leptin,8,0.237357165
3,270.8831497,control,Leptin,8,0.315995394
4,443.8769393,control,Leptin,8,0.517799164
5,1333.014659,control,Leptin,8,1.555011794
16,277.2525305,control,Leptin,8,0.323425517
17,834.8479941,control,Leptin,8,0.973881621
18,1535.502309,control,Leptin,8,1.791221262
19,453.2139043,control,Leptin,8,0.528691085
20,798.1371359,control,Leptin,8,0.931057022
31,350.0115459,control,Leptin,8,0.408301648
32,798.1371359,control,Leptin,8,0.931057022
33,1520.13234,control,Leptin,8,1.773291614
34,2864.395019,control,Leptin,8,3.341424647
35,617.128712,control,Leptin,8,0.71990388
1,725.3994098,control,Leptin,9,0.513851785
2,942.4249883,control,Leptin,9,0.667586375
3,522.3834652,control,Leptin,9,0.370041211
4,817.9417872,control,Leptin,9,0.579406106
5,2364.750739,control,Leptin,9,1.675120454
16,966.046451,control,Leptin,9,0.68431913
